a|A0
éng|E4 NGZ
ẹng|E5 NGZ
eo|E0 UZ
èo|E1 UZ
ẻo|E3 UZ
ẽo|E2 UZ
éo|E4 UZ
ẹo|E5 UZ
ép|E4 PC
ẹp|E5 PC
ét|E4 TC
ẹt|E5 TC
eu|E0 UZ
ê|EE0
ề|EE1
ể|EE3
ễ|EE2
ế|EE4
ệ|EE5
ếch|EE4 KC
ệch|EE5 KC
êm|EE0 MZ
ềm|EE1 MZ
ểm|EE3 MZ
ễm|EE2 MZ
ếm|EE4 MZ
ệm|EE5 MZ
ên|EE0 NZ
ền|EE1 NZ
ển|EE3 NZ
ễn|EE2 NZ
ến|EE4 NZ
ện|EE5 NZ
ễnh|EE2 NGZ
ếp|EE4 PC
ết|EE4 TC
êu|EE0 UZ
ều|EE1 UZ
ểu|EE3 UZ
ễu|EE2 UZ
ếu|EE4 UZ
ệu|EE5 UZ
fờ|PH OW1
ga|G A0
gà|G A1
gả|G A3
gã|G A2
gá|G A4
gạ|G A5
gác|G A4 KC
gạc|G A5 KC
gạch|G EA5 KC
gai|G A0 IZ
gài|G A1 IZ
gải|G A3 IZ
gãi|G A2 IZ
gái|G A4 IZ
gại|G A5 IZ
gam|G A0 MZ
gàm|G A1 MZ
gảm|G A3 MZ
gãm|G A2 MZ
gám|G A4 MZ
gạm|G A5 MZ
gan|G A0 NZ
gàn|G A1 NZ
gản|G A3 NZ
gãn|G A2 NZ
gán|G A4 NZ
gạn|G A5 NZ
gang|G A0 NGZ
gàng|G A1 NGZ
gảng|G A3 NGZ
gãng|G A2 NGZ
gáng|G A4 NGZ
gạng|G A5 NGZ
ganh|G EA0 NGZ
gành|G EA1 NGZ
gảnh|G EA3 NGZ
gãnh|G EA2 NGZ
gánh|G EA4 NGZ
gạnh|G EA5 NGZ
gao|G A0 UZ
gào|G A1 UZ
gảo|G A3 UZ
gão|G A2 UZ
gáo|G A4 UZ
gạo|G A5 UZ
gáp|G A4 PC
gát|G A4 TC
gạt|G A5 TC
gau|G AW0 UZ
gàu|G AW1 UZ
gảu|G AW3 UZ
gãu|G AW2 UZ
gáu|G AW4 UZ
gạu|G AW5 UZ
gay|G AW0 IZ
gày|G AW1 IZ
gảy|G AW3 IZ
gãy|G AW2 IZ
gáy|G AW4 IZ
gạy|G AW5 IZ
găm|G AW0 MZ
gằm|G AW1 MZ
gẳm|G AW3 MZ
gẵm|G AW2 MZ
gắm|G AW4 MZ
gặm|G AW5 MZ
găn|G AW0 NZ
gằn|G AW1 NZ
gẳn|G AW3 NZ
gẵn|G AW2 NZ
gắn|G AW4 NZ
gặn|G AW5 NZ
găng|G AW0 NGZ
gằng|G AW1 NGZ
gẳng|G AW3 NGZ
gẵng|G AW2 NGZ
gắng|G AW4 NGZ
gặng|G AW5 NGZ
gắp|G AW4 PC
gặp|G AW5 PC
gắt|G AW4 TC
gặt|G AW5 TC
gấc|G AA4 KC
gầm|G AA1 MZ
gẫm|G AA2 MZ
gấm|G AA4 MZ
gân|G AA0 NZ
gần|G AA1 NZ
gẩn|G AA3 NZ
gẫn|G AA2 NZ
gấn|G AA4 NZ
gận|G AA5 NZ
gấp|G AA4 PC
gập|G AA5 PC
gật|G AA5 TC
gâu|G AA0 UZ
gầu|G AA1 UZ
gẩu|G AA3 UZ
gẫu|G AA2 UZ
gấu|G AA4 UZ
gậu|G AA5 UZ
gây|G AA0 IZ
gầy|G AA1 IZ
gẩy|G AA3 IZ
gẫy|G AA2 IZ
gấy|G AA4 IZ
gậy|G AA5 IZ
ge|G E0
gem|G E0 MZ
gen|G E0 NZ
geng|G E0 NGZ
gèng|G E1 NGZ
gẻng|G E3 NGZ
gẽng|G E2 NGZ
géng|G E4 NGZ
gẹng|G E5 NGZ
geo|G E0 UZ
gét|G E4 TC
gê|G EE0
gêm|G E0 MZ
gên|G EE0 NZ
gết|G EE4 TC
ghan|G A0 NZ
ghe|G E0
ghè|G E1
ghẻ|G E3
ghẽ|G E2
ghé|G E4
ghẹ|G E5
ghéc|G E4 KC
ghẹc|G E5 KC
ghém|G E4 MZ
ghen|G E0 NZ
ghèn|G E1 NZ
ghẻn|G E3 NZ
ghẽn|G E2 NZ
ghén|G E4 NZ
ghẹn|G E5 NZ
gheng|G E0 NGZ
ghèng|G E1 NGZ
ghẻng|G E3 NGZ
ghẽng|G E2 NGZ
ghéng|G E4 NGZ
ghẹng|G E5 NGZ
ghẹo|G E5 UZ
ghép|G E4 PC
ghét|G E4 TC
ghê|G EE0
ghề|G EE1
ghể|G EE3
ghễ|G EE2
ghế|G EE4
ghệ|G EE5
ghếch|G EE4 KC
ghêm|G EE0 MZ
ghềm|G EE1 MZ
ghểm|G EE3 MZ
ghễm|G EE2 MZ
ghếm|G EE4 MZ
ghệm|G EE5 MZ
ghên|G EE0 NZ
ghền|G EE1 NZ
ghển|G EE3 NZ
ghễn|G EE2 NZ
ghến|G EE4 NZ
ghện|G EE5 NZ
ghềnh|G EE1 NGZ
ghết|G EE4 TC
ghi|G I0
ghì|G I1
ghỉ|G I3
ghĩ|G I2
ghí|G I4
ghị|G I5
ghia|G IE0
ghìa|G IE1
ghỉa|G IE3
ghĩa|G IE2
ghía|G IE4
ghịa|G IE5
ghích|G I4 KC
ghịch|G I5 KC
ghiếc|G IE4 KC
ghiền|G IE1 NZ
ghim|G I0 MZ
ghìm|G I1 MZ
ghỉm|G I3 MZ
ghĩm|G I2 MZ
ghím|G I4 MZ
ghịm|G I5 MZ
ghin|G I0 NZ
ghìn|G I1 NZ
ghỉn|G I3 NZ
ghĩn|G I2 NZ
ghín|G I4 NZ
ghịn|G I5 NZ
ghinh|G I0 NGZ
ghình|G I1 NGZ
ghỉnh|G I3 NGZ
ghĩnh|G I2 NGZ
ghính|G I4 NGZ
ghịnh|G I5 NGZ
ghip|G I0 PC
ghíp|G I4 PC
ghịp|G I5 PC
ghít|G I4 TC
ghiu|G I0 UZ
ghìu|G I1 UZ
ghỉu|G I3 UZ
ghĩu|G I2 UZ
ghíu|G I4 UZ
ghịu|G I5 UZ
gi|D I0
gì|D I1
gỉ|D I3
gĩ|D I2
gí|D I4
gị|D I5
gia|D A0
già|D A1
giả|D A3
giã|D A2
giá|D A4
giạ|D A5
gìa|D A1
gỉa|D A3
gĩa|D A2
gía|D A4
gịa|D A5
giác|D A4 KC
giách|D EA4 KC
giai|D A0 IZ
giài|D A1 IZ
giải|D A3 IZ
giãi|D A2 IZ
giái|D A4 IZ
giại|D A5 IZ
giam|D A0 MZ
giàm|D A1 MZ
giảm|D A3 MZ
giãm|D A2 MZ
giám|D A4 MZ
giạm|D A5 MZ
gian|D A0 NZ
giàn|D A1 NZ
giản|D A3 NZ
giãn|D A2 NZ
gián|D A4 NZ
giạn|D A5 NZ
giang|D A0 NGZ
giàng|D A1 NGZ
giảng|D A3 NGZ
giãng|D A2 NGZ
giáng|D A4 NGZ
giạng|D A5 NGZ
gianh|D EA0 NGZ
giành|D EA1 NGZ
giảnh|D EA3 NGZ
giãnh|D EA2 NGZ
giánh|D EA4 NGZ
giạnh|D EA5 NGZ
giao|D A0 UZ
giào|D A1 UZ
giảo|D A3 UZ
gião|D A2 UZ
giáo|D A4 UZ
giạo|D A5 UZ
giáp|D A4 PC
giát|D A4 TC
giạt|D A5 TC
giau|D AW0 UZ
giàu|D AW1 UZ
giảu|D AW3 UZ
giãu|D AW2 UZ
giáu|D AW4 UZ
giạu|D AW5 UZ
giày|D AW1 IZ
giãy|D AW2 IZ
giắc|D AW4 KC
giặc|D AW5 KC
giăm|D AW0 MZ
giằm|D AW1 MZ
giẳm|D AW3 MZ
giẵm|D AW2 MZ
giắm|D AW4 MZ
giặm|D AW5 MZ
giăng|D AW0 NGZ
giằng|D AW1 NGZ
giẳng|D AW3 NGZ
giẵng|D AW2 NGZ
giắng|D AW4 NGZ
giặng|D AW5 NGZ
giắt|D AW4 TC
giặt|D AW5 TC
giấc|D AA4 KC
giâm|D AA0 MZ
giầm|D AA1 MZ
giẩm|D AA3 MZ
giẫm|D AA2 MZ
giấm|D AA4 MZ
giậm|D AA5 MZ
giần|D AA1 NZ
giận|D AA5 NZ
giập|D AA5 PC
giật|D AA5 TC
giầu|D AA1 UZ
giấu|D AA4 UZ
giậu|D AA5 UZ
giây|D AA0 IZ
giầy|D AA1 IZ
giẩy|D AA3 IZ
giẫy|D AA2 IZ
giấy|D AA4 IZ
giậy|D AA5 IZ
gích|D I4 KC
gie|D E0
giè|D E1
giẻ|D E3
giẽ|D E2
gié|D E4
giẹ|D E5
gièm|D E1 MZ
gien|D E0 NZ
gièn|D E1 NZ
giẻn|D E3 NZ
giẽn|D E2 NZ
gién|D E4 NZ
giẹn|D E5 NZ
gieo|D E0 UZ
gièo|D E1 UZ
giẻo|D E3 UZ
giẽo|D E2 UZ
giéo|D E4 UZ
giẹo|D E5 UZ
giép|D E4 PC
giê|D IE0
giề|D IE1
giể|D IE3
giễ|D IE2
giế|D IE4
giệ|D IE5
giêm|D IE0 MZ
giềm|D IE1 MZ
giểm|D IE3 MZ
giễm|D IE2 MZ
giếm|D IE4 MZ
giệm|D IE5 MZ
giên|D IE0 NZ
giền|D IE1 NZ
giển|D IE3 NZ
giễn|D IE2 NZ
giến|D IE4 NZ
giện|D IE5 NZ
giêng|D IE0 NGZ
giềng|D IE1 NGZ
giểng|D IE3 NGZ
giễng|D IE2 NGZ
giếng|D IE4 NGZ
giệng|D IE5 NGZ
giết|D IE4 TC
giễu|D IE2 UZ
gin|D NZ
gìn|D I1 NZ
gỉn|D NZ
gĩn|D NZ
gín|D NZ
gịn|D NZ
gio|D O0
giò|D O1
giỏ|D O3
giõ|D O2
gió|D O4
giọ|D O5
gioan|D W A0 NZ
gioàn|D W A1 NZ
gioản|D W A3 NZ
gioãn|D W A2 NZ
gioán|D W A4 NZ
gioạn|D W A5 NZ
gioăng|D W AW0 NGZ
gioằng|D W AW1 NGZ
gioẳng|D W AW3 NGZ
gioẵng|D W AW2 NGZ
gioắng|D W AW4 NGZ
gioặng|D W AW5 NGZ
gióc|D OA4 KC
gioem|D W E0 MZ
gioèm|D W E1 MZ
gioẻm|D W E3 MZ
gioẽm|D W E2 MZ
gioém|D W E4 MZ
gioẹm|D W E5 MZ
gioeo|D W E0 UZ
gioèo|D W E1 UZ
gioẻo|D W E3 UZ
gioẽo|D W E2 UZ
gioéo|D W E4 UZ
gioẹo|D W E5 UZ
gioi|D O0 IZ
giòi|D O1 IZ
giỏi|D O3 IZ
giõi|D O2 IZ
giói|D O4 IZ
giọi|D O5 IZ
gion|D O0 NZ
giòn|D O1 NZ
giỏn|D O3 NZ
giõn|D O2 NZ
gión|D O4 NZ
giọn|D O5 NZ
giong|D OA0 NGZ
giòng|D OA1 NGZ
giỏng|D OA3 NGZ
giõng|D OA2 NGZ
gióng|D OA4 NGZ
giọng|D OA5 NGZ
gioóc|D O4 OA4 KC
gióp|D O4 PC
giọp|D O5 PC
giọt|D O5 TC
giô|D OO0
giồ|D OO1
giổ|D OO3
giỗ|D OO2
giố|D OO4
giộ|D OO5
giốc|D OO4 KC
giôn|D OO0 NZ
giồn|D OO1 NZ
giổn|D OO3 NZ
giỗn|D OO2 NZ
giốn|D OO4 NZ
giộn|D OO5 NZ
giông|D OO0 NGZ
giồng|D OO1 NGZ
giổng|D OO3 NGZ
giỗng|D OO2 NGZ
giống|D OO4 NGZ
giộng|D OO5 NGZ
giơ|D OW0
giờ|D OW1
giở|D OW3
giỡ|D OW2
giớ|D OW4
giợ|D OW5
giơi|D OW0 IZ
giời|D OW1 IZ
giởi|D OW3 IZ
giỡi|D OW2 IZ
giới|D OW4 IZ
giợi|D OW5 IZ
giỡn|D OW2 NZ
gíp|D I4 PC
gít|D I4 TC
giu|D UZ
giù|D UZ
giủ|D UZ
giũ|D U2
giú|D UZ
giụ|D UZ
gìu|D UZ
gỉu|D UZ
gĩu|D UZ
gíu|D UZ
gịu|D UZ
giũa|D UO2
giụa|D UO5
giục|D U5 KC
giúi|D U4 IZ
giụi|D U5 IZ
giùm|D U1 MZ
giun|D U0 NZ
giùn|D U1 NZ
giủn|D U3 NZ
giũn|D U2 NZ
giún|D U4 NZ
giụn|D U5 NZ
giuộc|D UO5 KC
giúp|D U4 PC
giuynh|D W I0 NGZ
giuỳnh|D W I1 NGZ
giuỷnh|D W I3 NGZ
giuỹnh|D W I2 NGZ
giuýnh|D W I4 NGZ
giuỵnh|D W I5 NGZ
giuyp|D W I4 PC
giuýp|D W I4 PC
giuỵp|D W I5 PC
giuyt|D W I4 TC
giuýt|D W I4 TC
giuỵt|D W I5 TC
giuyu|D W I0 UZ
giuỳu|D W I1 UZ
giuỷu|D W I3 UZ
giuỹu|D W I2 UZ
giuýu|D W I4 UZ
giuỵu|D W I5 UZ
giư|D UW0
giừ|D UW1
giử|D UW3
giữ|D UW2
giứ|D UW4
giự|D UW5
giưa|D WA0
giừa|D WA1
giửa|D WA3
giữa|D WA2
giứa|D WA4
giựa|D WA5
giừn|D UW1 NZ
giương|D WA0 NGZ
giường|D WA1 NGZ
giưởng|D WA3 NGZ
giưỡng|D WA2 NGZ
giướng|D WA4 NGZ
giượng|D WA5 NGZ
giựt|D UW5 TC
glô|G L OO0
go|G O0
gò|G O1
gỏ|G O3
gõ|G O2
gó|G O4
gọ|G O5
goa|G W A0
goá|G W A4
gòa|G W A1
gỏa|G W A3
gõa|G W A2
góa|G W A4
gọa|G W A5
goác|G W A4 KC
goai|G W A0 IZ
goài|G W A1 IZ
goải|G W A3 IZ
goãi|G W A2 IZ
goái|G W A4 IZ
goại|G W A5 IZ
goam|G W A0 MZ
goàm|G W A1 MZ
goảm|G W A3 MZ
goãm|G W A2 MZ
goám|G W A4 MZ
goạm|G W A5 MZ
goan|G W A0 NZ
goàn|G W A1 NZ
goản|G W A3 NZ
goãn|G W A2 NZ
goán|G W A4 NZ
goạn|G W A5 NZ
goáp|G W A4 PC
goát|G W A4 TC
goay|G W AW0 IZ
goày|G W AW1 IZ
goảy|G W AW3 IZ
goãy|G W AW2 IZ
goáy|G W AW4 IZ
goạy|G W AW5 IZ
goắc|G W AW4 KC
goăn|G W AW0 NZ
goằn|G W AW1 NZ
goẳn|G W AW3 NZ
goẵn|G W AW2 NZ
goắn|G W AW4 NZ
goặn|G W AW5 NZ
goắt|G W AW4 TC
góc|G OA4 KC
goe|G W E0
gòe|G W E1
gỏe|G W E3
gõe|G W E2
góe|G W E4
gọe|G W E5
goéch|G W E4 KC
goem|G W E0 MZ
goèm|G W E1 MZ
goẻm|G W E3 MZ
goẽm|G W E2 MZ
goém|G W E4 MZ
goẹm|G W E5 MZ
goen|G W E0 NZ
goèn|G W E1 NZ
goẻn|G W E3 NZ
goẽn|G W E2 NZ
goén|G W E4 NZ
goẹn|G W E5 NZ
goeo|G W E0 UZ
goèo|G W E1 UZ
goẻo|G W E3 UZ
goẽo|G W E2 UZ
goéo|G W E4 UZ
goẹo|G W E5 UZ
goép|G W E4 PC
goét|G W E4 TC
gỏi|G O3 IZ
gói|G O4 IZ
gọi|G O5 IZ
gom|G O0 MZ
gòm|G O1 MZ
gỏm|G O3 MZ
gõm|G O2 MZ
góm|G O4 MZ
gọm|G O5 MZ
gon|G O0 NZ
gòn|G O1 NZ
gỏn|G O3 NZ
gõn|G O2 NZ
gón|G O4 NZ
gọn|G O5 NZ
gong|G OA0 NGZ
gòng|G OA1 NGZ
gỏng|G OA3 NGZ
gõng|G OA2 NGZ
góng|G OA4 NGZ
gọng|G OA5 NGZ
goóc|G O4 OA4 KC
góp|G O4 PC
gót|G O4 TC
gọt|G O5 TC
goy|G O0 IZ
gô|G OO0
gồ|G OO1
gổ|G OO3
gỗ|G OO2
gố|G OO4
gộ|G OO5
gốc|G OO4 KC
gộc|G OO5 KC
gối|G OO4 IZ
gội|G OO5 IZ
gôm|G OO0 MZ
gồm|G OO1 MZ
gổm|G OO3 MZ
gỗm|G OO2 MZ
gốm|G OO4 MZ
gộm|G OO5 MZ
gôn|G OO0 NZ
gồn|G OO1 NZ
gổn|G OO3 NZ
gỗn|G OO2 NZ
gốn|G OO4 NZ
gộn|G OO5 NZ
gông|G OO0 NGZ
gồng|G OO1 NGZ
gổng|G OO3 NGZ
gỗng|G OO2 NGZ
gống|G OO4 NGZ
gộng|G OO5 NGZ
gốp|G OO4 PC
gộp|G OO5 PC
gốt|G OO4 TC
gột|G OO5 TC
gơ|G OW0
gờ|G OW1
gở|G OW3
gỡ|G OW2
gớ|G OW4
gợ|G OW5
gơi|G OW0 IZ
gời|G OW1 IZ
gởi|G OW3 IZ
gỡi|G OW2 IZ
gới|G OW4 IZ
gợi|G OW5 IZ
gờm|G OW1 MZ
gớm|G OW4 MZ
gơn|G OW0 NZ
gờn|G OW1 NZ
gởn|G OW3 NZ
gỡn|G OW2 NZ
gớn|G OW4 NZ
gợn|G OW5 NZ
gớt|G OW4 TC
gsinh|G S I0 NGZ
gtê|G T EE0
gu|G U0
gù|G U1
gủ|G U3
gũ|G U2
gú|G U4
gụ|G U5
gua|G UO0
gùa|G UO1
gủa|G UO3
gũa|G UO2
gúa|G UO4
gụa|G UO5
guan|G UO0 NZ
guang|G UO0 NGZ
guát|G W A4 TC
guắc|G W AW4 KC
guây|G W AA0 IZ
guầy|G W AA1 IZ
guẩy|G W AA3 IZ
guẫy|G W AA2 IZ
guấy|G W AA4 IZ
guậy|G W AA5 IZ
gúc|G U4 KC
gục|G U5 KC
gue|G W E0
guét|G W E4 TC
guê|G W EE0
guề|G W EE1
guể|G W EE3
guễ|G W EE2
guế|G W EE4
guệ|G W EE5
guêch|W EE0 KC
guếch|W EE4 KC
guệch|W EE5 KC
guên|G W EE0 NZ
guết|G W EE4 TC
guêu|G W EE0 UZ
gui|G U0 IZ
gùi|G U1 IZ
gủi|G U3 IZ
gũi|G U2 IZ
gúi|G U4 IZ
gụi|G U5 IZ
gum|G U0 MZ
gùm|G U1 MZ
gủm|G U3 MZ
gũm|G U2 MZ
gúm|G U4 MZ
gụm|G U5 MZ
gun|G U0 NZ
gùn|G U1 NZ
gủn|G U3 NZ
gũn|G U2 NZ
gún|G U4 NZ
gụn|G U5 NZ
gung|G U0 NGZ
gùng|G U1 NGZ
gủng|G U3 NGZ
gũng|G U2 NGZ
gúng|G U4 NGZ
gụng|G U5 NGZ
guoa|G U0 W A0
guoang|G U0 W A0 NGZ
guoắc|G U4 W AW4 KC
guoe|G U0 W E0
guốc|G UO4 KC
guộc|G UO5 KC
guôn|G UO0 NZ
guồn|G UO1 NZ
guổn|G UO3 NZ
guỗn|G UO2 NZ
guốn|G UO4 NZ
guộn|G UO5 NZ
guồng|G UO1 NGZ
guốt|G UO4 TC
guớt|G W OW4 TC
gút|G U4 TC
guy|G W IZ
gùy|G W IZ
gủy|G W IZ
gũy|G W IZ
gúy|G W IZ
gụy|G W IZ
guých|G W I4 KC
guyn|G W I0 NZ
guỳn|G W I1 NZ
guỷn|G W I3 NZ
guỹn|G W I2 NZ
guýn|G W I4 NZ
guỵn|G W I5 NZ
guynh|G W I0 NGZ
guỳnh|G W I1 NGZ
guỷnh|G W I3 NGZ
guỹnh|G W I2 NGZ
guýnh|G W I4 NGZ
guỵnh|G W I5 NGZ
guym|G W I0 MZ
guỳm|G W I1 MZ
guỷm|G W I3 MZ
guỹm|G W I2 MZ
guým|G W I4 MZ
guỵm|G W I5 MZ
guýp|G W I4 PC
guỵp|G W I5 PC
guyt|G W I4 TC
guýt|G W I4 TC
guỵt|G W I5 TC
guyu|G W I0 UZ
guỳu|G W I1 UZ
guỷu|G W I3 UZ
guỹu|G W I2 UZ
guýu|G W I4 UZ
guỵu|G W I5 UZ
gư|G UW0
gừ|G UW1
gử|G UW3
gữ|G UW2
gứ|G UW4
gự|G UW5
gựa|G WA5
gửi|G UW3 IZ
gừn|G UW1 NZ
gừng|G UW1 NGZ
gươm|G WA0 MZ
gườm|G WA1 MZ
gưởm|G WA3 MZ
gưỡm|G WA2 MZ
gướm|G WA4 MZ
gượm|G WA5 MZ
gương|G WA0 NGZ
gường|G WA1 NGZ
gưởng|G WA3 NGZ
gưỡng|G WA2 NGZ
gướng|G WA4 NGZ
gượng|G WA5 NGZ
ha|H A0
hà|H A1
hả|H A3
hã|H A2
há|H A4
hạ|H A5
hác|H A4 KC
hạc|H A5 KC
hách|H EA4 KC
hạch|H EA5 KC
hai|H A0 IZ
hài|H A1 IZ
hải|H A3 IZ
hãi|H A2 IZ
hái|H A4 IZ
hại|H A5 IZ
ham|H A0 MZ
hàm|H A1 MZ
hảm|H A3 MZ
hãm|H A2 MZ
hám|H A4 MZ
hạm|H A5 MZ
han|H A0 NZ
hàn|H A1 NZ
hản|H A3 NZ
hãn|H A2 NZ
hán|H A4 NZ
hạn|H A5 NZ
hang|H A0 NGZ
hàng|H A1 NGZ
hảng|H A3 NGZ
hãng|H A2 NGZ
háng|H A4 NGZ
hạng|H A5 NGZ
hanh|H EA0 NGZ
hành|H EA1 NGZ
hảnh|H EA3 NGZ
hãnh|H EA2 NGZ
hánh|H EA4 NGZ
hạnh|H EA5 NGZ
hao|H A0 UZ
hào|H A1 UZ
hảo|H A3 UZ
hão|H A2 UZ
háo|H A4 UZ
hạo|H A5 UZ
háp|H A4 PC
hạp|H A5 PC
hát|H A4 TC
hạt|H A5 TC
hau|H AW0 UZ
hàu|H AW1 UZ
hảu|H AW3 UZ
hãu|H AW2 UZ
háu|H AW4 UZ
hạu|H AW5 UZ
hay|H AW0 IZ
hày|H AW1 IZ
hảy|H AW3 IZ
hãy|H AW2 IZ
háy|H AW4 IZ
hạy|H AW5 IZ
hắc|H AW4 KC
hặc|H AW5 KC
hăm|H AW0 MZ
hằm|H AW1 MZ
hẳm|H AW3 MZ
hẵm|H AW2 MZ
hắm|H AW4 MZ
hặm|H AW5 MZ
hăn|H AW0 NZ
hằn|H AW1 NZ
hẳn|H AW3 NZ
hẵn|H AW2 NZ
hắn|H AW4 NZ
hặn|H AW5 NZ
hăng|H AW0 NGZ
hằng|H AW1 NGZ
hẳng|H AW3 NGZ
hẵng|H AW2 NGZ
hắng|H AW4 NGZ
hặng|H AW5 NGZ
hắp|H AW4 PC
hắt|H AW4 TC
hâm|H AA0 MZ
hầm|H AA1 MZ
hẩm|H AA3 MZ
hẫm|H AA2 MZ
hấm|H AA4 MZ
hậm|H AA5 MZ
hân|H AA0 NZ
hần|H AA1 NZ
hẩn|H AA3 NZ
hẫn|H AA2 NZ
hấn|H AA4 NZ
hận|H AA5 NZ
hẫng|H AA2 NGZ
hấp|H AA4 PC
hập|H AA5 PC
hất|H AA4 TC
hâu|H AA0 UZ
hầu|H AA1 UZ
hẩu|H AA3 UZ
hẫu|H AA2 UZ
hấu|H AA4 UZ
hậu|H AA5 UZ
hây|H AA0 IZ
hầy|H AA1 IZ
hẩy|H AA3 IZ
hẫy|H AA2 IZ
hấy|H AA4 IZ
hậy|H AA5 IZ
he|H E0
hè|H E1
hẻ|H E3
hẽ|H E2
hé|H E4
hẹ|H E5
héc|H E4 KC
hem|H E0 MZ
hèm|H E1 MZ
hẻm|H E3 MZ
hẽm|H E2 MZ
hém|H E4 MZ
hẹm|H E5 MZ
hen|H E0 NZ
hèn|H E1 NZ
hẻn|H E3 NZ
hẽn|H E2 NZ
hén|H E4 NZ
hẹn|H E5 NZ
heng|H E0 NGZ
hèng|H E1 NGZ
hẻng|H E3 NGZ
hẽng|H E2 NGZ
héng|H E4 NGZ
hẹng|H E5 NGZ
heo|H E0 UZ
hèo|H E1 UZ
hẻo|H E3 UZ
hẽo|H E2 UZ
héo|H E4 UZ
hẹo|H E5 UZ
hép|H E4 PC
hẹp|H E5 PC
hét|H E4 TC
hê|H EE0
hề|H EE1
hể|H EE3
hễ|H EE2
hế|H EE4
hệ|H EE5
hếch|H EE4 KC
hên|H EE0 NZ
hền|H EE1 NZ
hển|H EE3 NZ
hễn|H EE2 NZ
hến|H EE4 NZ
hện|H EE5 NZ
hênh|H EE0 NGZ
hềnh|H EE1 NGZ
hểnh|H EE3 NGZ
hễnh|H EE2 NGZ
hếnh|H EE4 NGZ
hệnh|H EE5 NGZ
hết|H EE4 TC
hệt|H EE5 TC
hêu|H EE0 UZ
hều|H EE1 UZ
hểu|H EE3 UZ
hễu|H EE2 UZ
hếu|H EE4 UZ
hệu|H EE5 UZ
hi|H I0
hì|H I1
hỉ|H I3
hĩ|H I2
hí|H I4
hị|H I5
hia|H IE0
hìa|H IE1
hỉa|H IE3
hĩa|H IE2
hía|H IE4
hịa|H IE5
hích|H I4 KC
hiềm|H IE1 MZ
hiểm|H IE3 MZ
hiếm|H IE4 MZ
hiên|H IE0 NZ
hiền|H IE1 NZ
hiển|H IE3 NZ
hiễn|H IE2 NZ
hiến|H IE4 NZ
hiện|H IE5 NZ
hiếp|H IE4 PC
hiệp|H IE5 PC
hiểu|H IE3 UZ
hiếu|H IE4 UZ
hiệu|H IE5 UZ
him|H I0 MZ
hìm|H I1 MZ
hỉm|H I3 MZ
hĩm|H I2 MZ
hím|H I4 MZ
hịm|H I5 MZ
hin|H I0 NZ
hìn|H I1 NZ
hỉn|H I3 NZ
hĩn|H I2 NZ
hín|H I4 NZ
hịn|H I5 NZ
hinh|H I0 NGZ
hình|H I1 NGZ
hỉnh|H I3 NGZ
hĩnh|H I2 NGZ
hính|H I4 NGZ
hịnh|H I5 NGZ
híp|H I4 PC
hít|H I4 TC
hiu|H I0 UZ
hìu|H I1 UZ
hỉu|H I3 UZ
hĩu|H I2 UZ
híu|H I4 UZ
hịu|H I5 UZ
ho|H O0
hò|H O1
hỏ|H O3
hõ|H O2
hó|H O4
họ|H O5
hoa|H W A0
hoà|H W A1
hoả|H W A3
hoá|H W A4
hoạ|H W A5
hòa|H W A1
hỏa|H W A3
hõa|H W A2
hóa|H W A4
họa|H W A5
hoác|H W A4 KC
hóac|H W A4 KC
hoạch|H W EA5 KC
họach|H W EA5 KC
hoài|H W A1 IZ
hoại|H W A5 IZ
hòai|H W A1 IZ
họai|H W A5 IZ
hoan|H W A0 NZ
hoàn|H W A1 NZ
hoản|H W A3 NZ
hoãn|H W A2 NZ
hoán|H W A4 NZ
hoạn|H W A5 NZ
hòan|H W A1 NZ
hõan|H W A2 NZ
hóan|H W A4 NZ
họan|H W A5 NZ
hoang|H W A0 NGZ
hoàng|H W A1 NGZ
hoảng|H W A3 NGZ
hoãng|H W A2 NGZ
hoáng|H W A4 NGZ
hoạng|H W A5 NGZ
hòang|H W A1 NGZ
hỏang|H W A3 NGZ
hoành|H W EA1 NGZ
hoảnh|H W EA3 NGZ
hoánh|H W EA4 NGZ
hoạnh|H W EA5 NGZ
hòanh|H W EA1 NGZ
hỏanh|H W EA3 NGZ
hóanh|H W EA4 NGZ
họanh|H W EA5 NGZ
hoạt|H W A5 TC
họat|H W A5 TC
hoay|H W AW0 IZ
hoày|H W AW1 IZ
hoảy|H W AW3 IZ
hoãy|H W AW2 IZ
hoáy|H W AW4 IZ
hoạy|H W AW5 IZ
hóay|H W AW4 IZ
hoắc|H W AW4 KC
hoặc|H W AW5 KC
hoắm|H W AW4 MZ
hoằn|H W AW1 NZ
hoằng|H W AW1 NGZ
hoẵng|H W AW2 NGZ
hoắt|H W AW4 TC
hóc|H OA4 KC
học|H OA5 KC
hoe|H W E0
hoè|H W E1
hoẹ|H W E5
hòe|H W E1
hỏe|H W E3
hõe|H W E2
hóe|H W E4
họe|H W E5
hoem|H W E0 MZ
hoèm|H W E1 MZ
hoẻm|H W E3 MZ
hoẽm|H W E2 MZ
hoém|H W E4 MZ
hoẹm|H W E5 MZ
hoen|H W E0 NZ
hoèn|H W E1 NZ
hoẻn|H W E3 NZ
hoẽn|H W E2 NZ
hoén|H W E4 NZ
hoẹn|H W E5 NZ
hoeo|H W E0 UZ
